# nruns = 10
# regions = True
# lr = 0.01
# rmsize = 100000
# steps = 50
# playouts = 5000
# train_size = 5000
# epochs = 20
# batch_size = 32
n,epsilon,loss,eval_reach,eval_crash
0,0.95,41.939240514945986,0,5000
0,0.9316326530612244,1113.7095860351562,1085,3915
0,0.9132653061224489,1458.56815078125,2644,2356
0,0.8948979591836734,1032.662705078125,3165,1835
0,0.8765306122448979,1102.561377734375,2750,2250
0,0.8581632653061224,1141.79367890625,3246,1754
0,0.8397959183673469,1160.11579453125,3027,1973
0,0.8214285714285714,988.2355884277343,3265,1735
0,0.8030612244897959,967.1617194824219,3531,1469
0,0.7846938775510204,975.2404974121093,3075,1925
0,0.7663265306122449,1146.3692005859375,3630,1370
0,0.7479591836734694,1385.575198828125,3974,1026
0,0.7295918367346939,1505.930496484375,3615,1385
0,0.7112244897959183,1415.164865234375,3780,1220
0,0.6928571428571428,1649.22360078125,3073,1927
0,0.6744897959183673,1734.3485209960938,3458,1542
0,0.6561224489795918,2062.0041451171874,3500,1500
0,0.6377551020408163,2187.58041640625,3936,1064
0,0.6193877551020408,2295.610533984375,3524,1476
0,0.6010204081632653,2637.345499609375,3459,1541
0,0.5826530612244898,2994.75429296875,3754,1246
0,0.5642857142857143,3286.7018350585936,3052,1948
0,0.5459183673469388,3782.3545541015624,3542,1458
0,0.5275510204081633,3393.52562265625,3573,1427
0,0.5091836734693878,5067.884705859375,3468,1532
0,0.49081632653061225,6525.4587171875,1930,3070
0,0.47244897959183674,5493.6448296875,3570,1430
0,0.45408163265306123,6216.75205234375,3332,1668
0,0.4357142857142857,5741.925401953125,3741,1259
0,0.4173469387755102,5004.473931640625,3582,1418
0,0.3989795918367347,5008.95226796875,3698,1302
0,0.3806122448979592,4415.27032421875,3880,1120
0,0.3622448979591837,4332.23403828125,3690,1310
0,0.3438775510204082,4123.0200984375,3057,1943
0,0.32551020408163267,3952.8479875,3579,1421
0,0.30714285714285716,4170.1222515625,3701,1299
0,0.28877551020408165,5484.653197070313,3635,1365
0,0.27040816326530615,5136.3716859375,3771,1229
0,0.25204081632653064,6049.4942015625,3601,1399
0,0.23367346938775513,4761.703672265625,3356,1644
0,0.21530612244897962,5171.806819140625,4005,995
0,0.1969387755102041,4516.510970117188,3918,1082
0,0.1785714285714286,4422.62953671875,3904,1096
0,0.1602040816326531,4299.948340234375,3789,1211
0,0.1418367346938776,4046.401149609375,3275,1725
0,0.12346938775510208,4187.095801171875,3847,1153
0,0.10510204081632657,5696.635788671875,3425,1575
0,0.08673469387755106,6730.178299023438,3707,1293
0,0.06836734693877555,5415.49121328125,3212,1788
0,0.05,4899.9303625,3358,1642
1,0.95,43.52408488731384,8,4992
1,0.9316326530612244,1289.409198046875,1218,3782
1,0.9132653061224489,1450.3083571289062,2155,2845
1,0.8948979591836734,1290.1525107421876,2856,2144
1,0.8765306122448979,1238.74251015625,1403,3597
1,0.8581632653061224,1052.0406096679687,2027,2973
1,0.8397959183673469,1047.870901953125,2553,2447
1,0.8214285714285714,1090.8543298828124,2578,2422
1,0.8030612244897959,1063.6390232421875,3006,1994
1,0.7846938775510204,1449.5612138671875,2859,2141
1,0.7663265306122449,1193.8265625,3211,1789
1,0.7479591836734694,1020.7185365234375,3459,1541
1,0.7295918367346939,1188.3712419921876,3481,1519
1,0.7112244897959183,1123.19928359375,3940,1060
1,0.6928571428571428,1250.9247875,3725,1275
1,0.6744897959183673,1241.526482421875,3625,1375
1,0.6561224489795918,1581.3080251953124,3188,1812
1,0.6377551020408163,1857.73456875,3732,1268
1,0.6193877551020408,1993.17824140625,3411,1589
1,0.6010204081632653,1989.9731962890626,3544,1456
1,0.5826530612244898,2015.6038215820313,3800,1200
1,0.5642857142857143,2024.77266640625,3648,1352
1,0.5459183673469388,2482.8500890625,3605,1395
1,0.5275510204081633,2635.9742435546873,3606,1394
1,0.5091836734693878,2264.7253650390626,3842,1158
1,0.49081632653061225,2128.2327267578125,3758,1242
1,0.47244897959183674,2322.28313828125,4097,903
1,0.45408163265306123,3109.598495703125,3740,1260
1,0.4357142857142857,2990.43319140625,3971,1029
1,0.4173469387755102,2939.6207171875,4141,859
1,0.3989795918367347,3297.550646484375,4112,888
1,0.3806122448979592,2574.4225740234374,3913,1087
1,0.3622448979591837,2921.3229515625,3759,1241
1,0.3438775510204082,4075.52452734375,3906,1094
1,0.32551020408163267,3836.34716015625,4071,929
1,0.30714285714285716,4469.0240890625,4018,982
1,0.28877551020408165,5165.0983359375,3732,1268
1,0.27040816326530615,4728.707951171875,3672,1328
1,0.25204081632653064,7358.4104234375,2598,2402
1,0.23367346938775513,6751.81524453125,3565,1435
1,0.21530612244897962,7766.9363765625,3756,1244
1,0.1969387755102041,8437.0165234375,3665,1335
1,0.1785714285714286,9176.375028125,3353,1647
1,0.1602040816326531,7495.0034,3628,1372
1,0.1418367346938776,6883.5774765625,3563,1437
1,0.12346938775510208,6782.51549765625,3715,1285
1,0.10510204081632657,6374.139590625,3191,1809
1,0.08673469387755106,6061.296021875,3908,1092
1,0.06836734693877555,5221.94050390625,3080,1920
1,0.05,4825.104241796875,3785,1215
2,0.95,127.54641156997681,0,5000
2,0.9316326530612244,976.0827479003906,1536,3464
2,0.9132653061224489,1646.2498046875,2370,2630
2,0.8948979591836734,1375.76449609375,1153,3847
2,0.8765306122448979,1289.8840517578126,2330,2670
2,0.8581632653061224,1269.0995416992187,3090,1910
2,0.8397959183673469,1424.8087720703124,3086,1914
2,0.8214285714285714,1645.259400390625,2402,2598
2,0.8030612244897959,1537.070419921875,2955,2045
2,0.7846938775510204,1842.0360291015625,3184,1816
2,0.7663265306122449,2194.572801171875,2989,2011
2,0.7479591836734694,2278.439415625,3537,1463
2,0.7295918367346939,2278.3493802734374,3407,1593
2,0.7112244897959183,2093.12634921875,3208,1792
2,0.6928571428571428,2646.550532421875,3189,1811
2,0.6744897959183673,2296.534897265625,3637,1363
2,0.6561224489795918,2071.6465765625,3518,1482
2,0.6377551020408163,1966.938201171875,3345,1655
2,0.6193877551020408,2171.770822265625,3593,1407
2,0.6010204081632653,1962.247035546875,3673,1327
2,0.5826530612244898,2767.437024609375,3414,1586
2,0.5642857142857143,2641.5986046875,3513,1487
2,0.5459183673469388,2532.27688359375,2978,2022
2,0.5275510204081633,1879.229544140625,3562,1438
2,0.5091836734693878,2465.50708203125,2655,2345
2,0.49081632653061225,1964.8019474609375,3236,1764
2,0.47244897959183674,1806.602003125,3779,1221
2,0.45408163265306123,1883.5572611328125,3851,1149
2,0.4357142857142857,2089.8193330078125,3602,1398
