# nruns = 10
# regions = False
# lr = 0.01
# rmsize = 100000
# steps = 50
# playouts = 5000
# train_size = 5000
# epochs = 20
# batch_size = 32
n,epsilon,loss,eval_reach,eval_crash
0,0.95,20.341034464776516,927,4073
0,0.9316326530612244,208.33259447631835,2107,2893
0,0.9132653061224489,502.06297578125,2111,2889
0,0.8948979591836734,449.4542345947266,2318,2682
0,0.8765306122448979,659.214683984375,1717,3283
0,0.8581632653061224,912.3552112304687,2002,2998
0,0.8397959183673469,1035.8884140625,2284,2716
0,0.8214285714285714,1493.626798046875,1867,3133
0,0.8030612244897959,1909.004171484375,2158,2842
0,0.7846938775510204,2410.4591978515623,1204,3796
0,0.7663265306122449,3157.7505763671875,2197,2803
0,0.7479591836734694,3478.998332421875,1984,3016
0,0.7295918367346939,2816.9904107421876,1967,3033
0,0.7112244897959183,3454.10780390625,2434,2566
0,0.6928571428571428,3870.05853671875,2690,2310
0,0.6744897959183673,3943.147294921875,2773,2227
0,0.6561224489795918,4073.177313671875,2564,2436
0,0.6377551020408163,3597.175069921875,2818,2182
0,0.6193877551020408,3260.5201453125,2883,2117
0,0.6010204081632653,3008.252213671875,2978,2022
0,0.5826530612244898,2679.318224316406,2254,2746
0,0.5642857142857143,2884.245644140625,2381,2619
0,0.5459183673469388,3255.0750942871096,2398,2602
0,0.5275510204081633,2786.7677751953124,2568,2432
0,0.5091836734693878,2266.487844140625,2781,2219
0,0.49081632653061225,2598.975209765625,2953,2047
0,0.47244897959183674,3044.76923671875,3108,1892
0,0.45408163265306123,3963.58671015625,2676,2324
0,0.4357142857142857,4914.469578125,3323,1677
0,0.4173469387755102,5224.49229140625,2969,2031
0,0.3989795918367347,5410.445973828125,3138,1862
0,0.3806122448979592,4802.067375,2676,2324
0,0.3622448979591837,6137.809815625,2758,2242
0,0.3438775510204082,4712.111379296875,2575,2425
0,0.32551020408163267,6841.1737640625,2570,2430
0,0.30714285714285716,4612.801286328125,2447,2553
0,0.28877551020408165,6433.906510546875,2196,2804
0,0.27040816326530615,7338.71520703125,3188,1812
0,0.25204081632653064,6749.74120078125,2190,2810
0,0.23367346938775513,9502.167919140626,2812,2188
0,0.21530612244897962,8331.817996875,2808,2192
0,0.1969387755102041,8299.636660644532,2604,2396
0,0.1785714285714286,8577.2410234375,2032,2968
0,0.1602040816326531,7650.596490625,2593,2407
0,0.1418367346938776,8916.5936453125,3123,1877
0,0.12346938775510208,10619.7526640625,2740,2260
0,0.10510204081632657,11332.1517921875,3056,1944
0,0.08673469387755106,16178.5860125,2780,2220
0,0.06836734693877555,17091.070128125,2495,2505
0,0.05,18483.53443125,2095,2905
1,0.95,30.35820942211151,441,4559
1,0.9316326530612244,276.4808948638916,1170,3830
1,0.9132653061224489,467.2974652832031,1722,3278
1,0.8948979591836734,690.8272708862305,1444,3556
1,0.8765306122448979,911.3137428710937,2309,2691
1,0.8581632653061224,1201.7067180664062,1529,3471
1,0.8397959183673469,1664.9393618164063,1281,3719
1,0.8214285714285714,1854.6048880859375,485,4515
1,0.8030612244897959,2528.15046328125,1184,3816
1,0.7846938775510204,2908.05706015625,1239,3761
1,0.7663265306122449,2590.829733203125,1310,3690
1,0.7479591836734694,3621.295998730469,1770,3230
1,0.7295918367346939,2402.2805365234376,2475,2525
1,0.7112244897959183,2012.4394329101563,2816,2184
1,0.6928571428571428,2698.211178125,2612,2388
1,0.6744897959183673,3446.708259375,1713,3287
1,0.6561224489795918,3565.50413203125,1767,3233
1,0.6377551020408163,2995.180176171875,2328,2672
1,0.6193877551020408,3371.19598359375,1631,3369
1,0.6010204081632653,4028.17803515625,941,4059
1,0.5826530612244898,6529.165535546875,1139,3861
1,0.5642857142857143,5809.809682421875,532,4468
1,0.5459183673469388,5567.229725390625,233,4767
1,0.5275510204081633,5473.97891328125,195,4805
1,0.5091836734693878,5617.177817578125,782,4218
1,0.49081632653061225,5530.03994765625,639,4361
1,0.47244897959183674,6384.90855,884,4116
1,0.45408163265306123,6120.00964609375,957,4043
1,0.4357142857142857,14017.4076234375,834,4166
1,0.4173469387755102,17538.5995703125,392,4608
1,0.3989795918367347,19837.026341210938,700,4300
1,0.3806122448979592,26201.6047140625,233,4767
1,0.3622448979591837,38000.76891328125,421,4579
1,0.3438775510204082,58408.758065625,277,4723
1,0.32551020408163267,82777.6197984375,403,4597
1,0.30714285714285716,107286.32559375,534,4466
1,0.28877551020408165,127411.2587875,147,4853
1,0.27040816326530615,138162.154040625,404,4596
1,0.25204081632653064,163707.60775,228,4772
1,0.23367346938775513,181314.019071875,225,4775
1,0.21530612244897962,234111.31477265625,354,4646
1,0.1969387755102041,228940.49275,295,4705
1,0.1785714285714286,319816.97355,676,4324
1,0.1602040816326531,410357.220425,413,4587
1,0.1418367346938776,449229.774425,446,4554
1,0.12346938775510208,536330.55935,711,4289
1,0.10510204081632657,579867.39145,388,4612
1,0.08673469387755106,755669.10135,235,4765
1,0.06836734693877555,828779.33435625,354,4646
1,0.05,746195.140275,551,4449
2,0.95,28.721233364582062,280,4720
2,0.9316326530612244,244.74037584991456,1605,3395
2,0.9132653061224489,388.709307421875,846,4154
2,0.8948979591836734,648.6441334472656,1417,3583
2,0.8765306122448979,827.3720100585938,583,4417
2,0.8581632653061224,1304.8901993164063,206,4794
2,0.8397959183673469,1793.264175390625,274,4726
2,0.8214285714285714,2579.8700705078127,290,4710
2,0.8030612244897959,2992.30433203125,886,4114
2,0.7846938775510204,3731.124433300781,720,4280
2,0.7663265306122449,4455.22349140625,986,4014
2,0.7479591836734694,5087.50834765625,1408,3592
2,0.7295918367346939,4807.6435640625,1057,3943
2,0.7112244897959183,5739.1309484375,1318,3682
2,0.6928571428571428,5739.8856921875,1713,3287
2,0.6744897959183673,7165.5933125,2267,2733
2,0.6561224489795918,10115.8146609375,2457,2543
2,0.6377551020408163,12692.1232046875,1601,3399
2,0.6193877551020408,12950.123011328125,1999,3001
2,0.6010204081632653,11706.9442953125,2203,2797
2,0.5826530612244898,11882.929325390625,2155,2845
2,0.5642857142857143,13006.97090703125,1624,3376
2,0.5459183673469388,14391.0086578125,1534,3466
2,0.5275510204081633,14132.141171875,1277,3723
2,0.5091836734693878,16727.146075,1355,3645
2,0.49081632653061225,18040.16686875,1430,3570
2,0.47244897959183674,21506.794984375,1403,3597
2,0.45408163265306123,23298.03095625,982,4018
2,0.4357142857142857,21122.48889375,2158,2842
2,0.4173469387755102,19026.6519515625,2090,2910
2,0.3989795918367347,17310.65538515625,2427,2573
2,0.3806122448979592,17701.41850625,2720,2280
2,0.3622448979591837,15582.0347796875,2781,2219
2,0.3438775510204082,15727.749703125,2699,2301
2,0.32551020408163267,15945.3021625,2478,2522
2,0.30714285714285716,15062.8777703125,3052,1948
2,0.28877551020408165,17473.212240625,2447,2553
